iter	Passed	Remaining
0	1	100
1	1	90
2	2	85
3	3	80
4	4	80
5	5	79
6	5	77
7	6	76
8	7	76
9	8	75
10	9	74
11	10	73
12	10	72
13	11	71
14	12	70
15	13	69
16	13	68
17	14	66
18	15	66
19	16	65
20	17	64
21	18	63
22	18	62
23	19	61
24	20	60
25	21	59
26	21	58
27	22	58
28	23	57
29	24	57
30	25	56
31	26	55
32	27	54
33	27	54
34	28	53
35	29	52
36	30	52
37	31	51
38	32	50
39	32	49
40	33	48
41	33	46
42	35	46
43	35	45
44	36	44
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	41	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	51	30
63	51	29
64	52	28
65	53	27
66	54	26
67	55	25
68	55	25
69	56	24
70	57	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	68	11
86	69	10
87	70	9
88	71	8
89	71	7
90	72	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	77	1
98	78	0
99	79	0
